Issue Type,Issue ID,Parent ID,Summary,Description,Assignee,Story Points,Status,Time Spent,
Story,1,,Project foundation and environment setup,"Monorepo, tooling, server skeleton, database connection, and design tokens.",malik,,Done,,
Sub-task,101,1,Initialize monorepo with client/server workspaces and tooling,"npm workspaces, ESLint, Prettier, TypeScript configs for both packages.",malik,3,Done,21600,360
Sub-task,102,1,Express server skeleton with core middleware,"helmet, CORS, morgan, cookie-parser, rate limiter, error handler.",mahmod,5,Done,36000,600
Sub-task,103,1,MongoDB connection layer with retry and reconnect handling,Mongoose connection with retry limits and graceful failure exit.,malik,5,Done,32400,540
Sub-task,104,1,Tailwind design tokens and base theme configuration,"Color tokens, typography scale, spacing, radii, shadows in tailwind.config.",haya,5,Done,36000,600
Story,2,,Database schema and seed data,"All Mongoose models, index strategy, and realistic seed script.",mahmod,,Done,,0
Sub-task,201,2,Design Mongoose schemas for all collections,"User, Product, Category, Order, Review, Coupon, Cart, Wishlist, AuditLog, LowStockAlert, ProductEvent.",mahmod,13,Done,108000,1800
Sub-task,202,2,Seed script with realistic test data,"3 role accounts, 12 products with variants, orders in all statuses, reviews, coupons.",mahmod,5,Done,32400,540
Sub-task,203,2,Index strategy including unique compound and TTL indexes,"Unique email, one-active-alert-per-variant, one-review-per-user-product, 180-day TTL on product events.",malik,8,Done,64800,1080
Story,3,,Authentication and authorization,"JWT auth with refresh rotation, RBAC, and auth UI.",malik,,Done,,0
Sub-task,301,3,Register and login endpoints with bcrypt and JWT access tokens,"Zod validation, bcrypt cost 12, 15-minute access tokens.",malik,8,Done,72000,1200
Sub-task,302,3,Refresh token rotation with httpOnly cookies and reuse detection,"7-day opaque refresh tokens, rotation on use, session revocation on reuse.",malik,13,Done,115200,1920
Sub-task,303,3,RBAC middleware for customer / inventory_manager / super_admin,authenticate + authorize middleware applied across route files.,mahmod,5,Done,36000,600
Sub-task,304,3,"Login, register, and forgot-password pages with validation","Form validation, error states, redirect-after-login handling.",haya,8,Done,64800,1080
Sub-task,305,3,Axios instance with silent-refresh interceptor and AuthContext,"Single shared instance, 401 interceptor, silent refresh on mount.",haya,8,Done,72000,1200
Story,4,,Product catalog,Product APIs and storefront browsing experience.,haya,,Done,,0
Sub-task,401,4,Product listing API with filters sort search and pagination,"Category, price, rating filters; text search; sort options; meta pagination.",mahmod,8,Done,64800,1080
Sub-task,402,4,Category management endpoints,Parent/subcategory CRUD with manager authorization.,mahmod,5,Done,32400,540
Sub-task,403,4,Product list page with filter sidebar,"Filter UI, sort dropdown, pagination, loading skeletons.",haya,8,Done,72000,1200
Sub-task,404,4,Product detail page with variants gallery and tabs,"Variant selector, image gallery, specs/description/reviews tabs, add to cart.",haya,13,Done,100800,1680
Story,5,,Cart and wishlist,"Cart APIs, guest support with merge-on-login, and cart/wishlist pages.",haya,,Done,,0
Sub-task,501,5,Cart API with stock validation,Add/update/remove endpoints validating variant stock levels.,mahmod,8,Done,57600,960
Sub-task,502,5,Guest cart and wishlist in localStorage with merge-on-login,"Local persistence for guests, server merge when a session starts.",malik,8,Done,64800,1080
Sub-task,503,5,Cart and wishlist pages,"Quantity controls, stock warnings, promo coupon field, empty states.",haya,8,Done,64800,1080
Story,6,,Checkout and payments,"Stripe integration, checkout flow, and order confirmation.",mahmod,,In Progress,,0
Sub-task,601,6,Stripe checkout session and webhook handler,"Payment intents, webhook signature verification, stock decrement, purchase events.",mahmod,13,In Progress,43200,720
Sub-task,602,6,Checkout page with address selection and mock payment,"Saved address picker, add-address form, sandbox payment step.",haya,8,In Progress,28800,480
Sub-task,603,6,Order confirmation flow and email stubs,"Confirmation page, order-confirmation email stub via console mailer.",malik,5,To Do,,0
Story,7,,Customer account and orders,Order history APIs and the account dashboard.,malik,,In Progress,,0
Sub-task,701,7,Orders API for history details and status tracking,"Paginated customer order history, order detail with permission checks.",mahmod,8,Done,64800,1080
Sub-task,702,7,Account dashboard with orders addresses and wishlist tabs,"Tabbed dashboard, address book CRUD, profile details form.",haya,13,In Progress,43200,720
